#
#  pflu216595cyc 22.5 Reactions link table generated on Mon Sep 10, 2018
#
ACETYL-COA-CARBOXYLTRANSFER-RXN	EC-6.4.1.2
RXN-11347	EC-2.7.8.13
RXN-16322	EC-1.13.12.16
3.1.13.3-RXN	EC-3.1.13.3
RXN-1241	EC-1.2.1.68
RXN0-7238	EC-6.2.1.3
THIOREDOXIN-RXN	
RXN-8665	EC-1.13.11.11	EC-1.13.11.52
CHEBDEAMID-RXN	EC-3.5.1.44
RXN-7573	EC-1.14.13.114
RXN-9225	EC-2.1.1.222
RXN-15095	EC-2.7.1.201
THIOPURINE-S-METHYLTRANSFERASE-RXN	EC-2.1.1.67
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	EC-1.1.99.6
RXN-17132	EC-3.9.1.3
DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN	EC-4.1.99.3
RXN-10655	EC-1.1.1.100
RXN-11833	EC-5.4.99.19
RXN-17797	EC-4.2.1.17
RXN-17017	EC-2.3.1.15
1.1.1.178-RXN	EC-1.1.1.178
MYRISTOYLACYLTRAN-RXN	EC-2.3.1.243
RXN0-6368	
S-ADENMETSYN-RXN	EC-2.5.1.6
3.1.4.11-RXN	EC-3.1.4.11
RXN0-279	EC-3.13.1
RXN-16456	EC-2.7.7.77
1.2.1.65-RXN	EC-1.2.1.65
XYLISOM-RXN	EC-5.3.1.5
RXN-2901	EC-2.6.1.19
RXN0-6490	
RXN-15881	EC-2.8.1.7
ACETYL-COA-ACETYLTRANSFER-RXN	EC-2.3.1.9
3.4.24.32-RXN	EC-3.5.1.28	EC-3.4.24.32
3.1.26.4-RXN	EC-3.1.26.4
RXN-14394	EC-2.3.1.16
RXN-16003	EC-1.1.1.276
NAG6PDEACET-RXN	EC-3.5.1.25
RXN-12093	EC-6.3.4.20
RXN0-6483	EC-3.1.13.5
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
PALMITOTRANS-RXN	EC-2.3.1.242
RXN-16077	EC-2.3.1.51
GLUTAMINESYN-RXN	EC-6.3.1.2
TRANS-RXN-57	
GLUTATHIONE-PEROXIDASE-RXN	EC-1.11.1.9
RXN-13040	EC-1.1.1.126
RXN-15180	EC-2.7.1.201
RXN0-6521	EC-3.1.26.12
ADENOSYLHOMOCYSTEINASE-RXN	EC-3.3.1.1
RXN-16649	EC-3.4.16.4
MYRPALMTRAN-RXN	EC-2.3.1
RXN-17750	EC-3.1.4.3
RXN-12614	
RXN-14257	
RXN-12611	EC-2.5.1.3
RXN-6642	EC-3.4.11.2
RXN0-2201	
GLUCISOM-RXN	EC-5.3.1.5
RXN1G-349	EC-1.1.1.100
RXN-9615	
GALPMUT-RXN	EC-5.4.99.9
TRANS-RXN-139	
3.6.3.41-RXN	EC-3.6.3.41
P-PANTOCYSLIG-RXN	EC-6.3.2.5
RXN-3641	EC-2.3.1.174
RXN-14386	EC-2.8.1.7
1.8.4.8-RXN	EC-1.8.4.8
GABATRANSAM-RXN	EC-2.6.1.19
UDP-NACMURALA-GLU-LIG-RXN	EC-6.3.2.9
RXN-17011	EC-2.3.1.51
METHYLISOCITRATE-LYASE-RXN	EC-4.1.3.30
ARYLFORMAMIDASE-RXN	EC-3.5.1.9
TRANS-RXN1G1K-21	
PTAALT-RXN	EC-2.3.1.222
RXN-16002	
RXN-12877	
TRANS-RXN1G1K-6	
DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN	EC-3.6.1
3.3.2.2-RXN	EC-3.3.2.2
TRANS-RXN0-162	EC-3.6.3.41
4.1.99.4-RXN	EC-3.5.99.7
1.5.1.20-RXN	EC-1.5.1.20
RXN-10697	EC-4.2.1.17
TRANS-RXN0-468	
METHENYLTHFCYCLOHYDRO-RXN	EC-3.5.4.9
2.6.1.30-RXN	EC-2.6.1.30
RXN1G-469	EC-1.1.1.100
RXN-17848	EC-2.3.2.6
RXN-17020	EC-2.3.1.51
CTPSYN-RXN	EC-6.3.4.2
GLYCOGENSYN-RXN	EC-2.4.1.21
DAPASYN-RXN	EC-2.6.1.62
RXN-16938	EC-3.5.1.28
RXN-17738	EC-3.1.4.3
TRANS-RXN-168	EC-2.7.1.201
RXN-9025	EC-2.4.1.1
ABC-23-RXN	EC-3.6.3.28
RXN-14728	EC-3.5.1.4
RXN0-5468	EC-1.11.1.15
TARTRATE-DEHYDROGENASE-RXN	EC-1.1.1.93
RXN-9552	EC-1.1.1.100
RXN-14325	
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
RXN-9718	EC-2.3.1.190
HOMOSERKIN-RXN	EC-2.7.1.39
2.4.1.109-RXN	EC-2.4.1.109
TRANS-RXN1G1K-20	
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
RXN-9635	EC-1.3.1.9
MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN	EC-5.5.1.4
DUTP-PYROP-RXN	EC-3.6.1.23	EC-3.6.1.9
RXN66-483	EC-6.2.1.3
PROTOHEMEFERROCHELAT-RXN	EC-4.99.1.1
RXN-13805	EC-2.3.1.15
RXN-17791	EC-2.3.1.16
RXN-11135	EC-3.6.4.12
KDO-8PSYNTH-RXN	EC-2.5.1.55
3.5.5.1-RXN	EC-3.5.5.1
3.6.3.28-RXN	EC-3.6.3.28
PANTEPADENYLYLTRAN-RXN	EC-2.7.7.3
RXN-8643	EC-1.1.1.93
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
RXN1G-72	EC-1.1.1
3.1.3.16-RXN	EC-3.1.3.16
RXN-12588	EC-2.8.1.7
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.24
RXN-11029	EC-2.4.1.227
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
RXN0-2142	EC-1.1.1.100
RXN1G1K-7	
RXN-14381	
4.2.2.11-RXN	EC-4.2.2.11
PROPIONATE--COA-LIGASE-RXN	EC-6.2.1.17
PYRIDOXINE-4-OXIDASE-RXN	EC-1.1.3.12
CARBPSYN-RXN	EC-6.3.5.5
URACIL-PRIBOSYLTRANS-RXN	EC-2.4.2.9
RXN-13455	
THREONINE--TRNA-LIGASE-RXN	EC-6.1.1.3
3.5.1.80-RXN	EC-3.5.1.25
3.4.11.19-RXN	EC-3.4.11.19
TRANS-RXN1G1K-19	
RXN0-308	EC-2.8.1.7
RXN-14387	
RXN-15005	EC-2.7.2.8
RXN-9673	EC-6.2.1.3
PURINE-NUCLEOSIDASE-RXN	EC-3.2.2.1
RXN0-5118	EC-2.4
RXN-14388	
RXN-9536	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
METHYLACYLYLCOA-HYDROXY-RXN	EC-4.2.1.17
RXN0-366	EC-3.2.2.1
RXN-13202	EC-6.3.4.16
1.11.1.15-RXN	EC-1.11.1.15
2.7.7.60-RXN	EC-2.7.7.60
RXN-16689	
RXN-12587	EC-2.8.1.7
RXN-14389	
ACETYLGLUTKIN-RXN	EC-2.7.2.8
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	EC-2.3.1.35
RXN-15155	EC-2.7.1.202
RXN0-7067	
CHLORIDE-PEROXIDASE-RXN	EC-1.11.1.10
RXN0-363	EC-3.2.2.1
RXN0-5184	EC-2.4.1.1
RXN-14390	
ASPCARBTRANS-RXN	EC-2.1.3.2
GUANPRIBOSYLTRAN-RXN	EC-2.4.2.8
GLUTAMIN-RXN	EC-3.5.1.38	EC-3.5.1.2
RXN-14188	EC-3.6.1
RXN-16630	EC-1.1.1.100
RXN-16664	EC-3.4.17.13
RXN-9550	EC-3.1.2.14
RXN-14391	EC-3.6.4
3.1.1.77-RXN	EC-3.1.1.77
RXN-14903	EC-1.5.5.2
ASPARAGHYD-RXN	EC-3.5.1.38	EC-3.5.1.1
RXN0-302	EC-4.6.1.12
TRANS-RXN1G1K-18	
RXN-12710	EC-2.3.1.16
MANNPISOM-RXN	EC-5.3.1.8
RXN-11209	EC-1.3.1.2
TSA-REDUCT-RXN	EC-1.1.1.60
PROTEIN-TYROSINE-PHOSPHATASE-RXN	EC-3.1.3.48
RXN-11346	EC-2.4.1.227
RXN-16006	EC-5.1.3.8
RXN-14063	EC-2.7.1.156
TRANS-RXN-42	
3.2.2.23-RXN	EC-3.2.2.23
RXN0-5234	EC-4.1.2
RXN-16909	
R322-RXN	EC-2.1.1.152
PHOSPHOLIPASE-C-RXN	EC-3.1.4.3
3.1.21.1-RXN	EC-3.1.21.1
RXN-7968	EC-1.1.1.282
4.2.1.99-RXN	EC-4.2.1.99
4-PYRIDOXOLACTONASE-RXN	EC-3.1.1.27
RXN0-5408	EC-3.1.3.25
RXN-13456	
RXN0-6482	EC-2.7.7.56
RXN-17021	EC-2.3.1.51
RXN-15084	EC-2.7.1.202
RXN-12422	EC-3.2.1.178
RXN0-305	EC-5.3.1.22
RXN-1404	EC-3.5.5.1
RXN-17150	EC-3.5.1.9
RXN-17793	EC-4.2.1.17
RXN-16910	
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	EC-2.1.1.33
RXN1G1K-31	
SULFOCYS-RXN	EC-2.5.1
RXN0-6734	EC-4.7.1.1
ACID-PHOSPHATASE-RXN	EC-3.1.3.2
RXN-16457	
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
RXN-9524	EC-2.3.1.86	EC-2.3.1.85	EC-1.1.1.100
RXN-7607	EC-3.1.3.99
RXN-12426	EC-3.2.1.159
RXN0-2921	EC-6.3.2.17
UREIDOGLYCOLATE-LYASE-RXN	EC-4.3.2.3
RXN-14196	EC-2.7.2
RXN0-6481	EC-2.7.7.56
RXN-16415	EC-6.2.1.3
2OXOGLUTARATEDEH-RXN	
TRANS-RXN1G1K-5	
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
3.1.11.1-RXN	EC-3.1.11.1
RXN-5822	EC-3.1.3.2	EC-3.1.3.1
TRANS-RXN1G1K-17	
3.2.1.14-RXN	EC-3.2.1.14
GLUTAMATE-DEHYDROGENASE-RXN	EC-1.4.1.2
PYROGLUTAMYL-PEPTIDASE-I-RXN	EC-3.4.19.3
GLYOCARBOLIG-RXN	EC-4.1.1.47
RXN0-5514	EC-2.3.1.51
RXN-11361	EC-2.7.7.80
